title,year,decade,rated,released,runtime,genre,director,writer,actors,plot,language,country,awards,poster,ratings_source,ratings_value,metascore,imdbrating,imdbvotes,imdbid,dvd,boxoffice,production,website,response,tomatourl
City Lights,1931,1930,G,07 Mar 1931,87 min,"Comedy, Drama, Romance",Charles Chaplin,Charles Chaplin,"Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",English,USA,3 wins.,https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Internet Movie Database,8.6/10,N/A,8.6,"119,453",tt0021749,08 Feb 2000,N/A,Twentieth Century Fox Home Entertainment,N/A,True,http://www.rottentomatoes.com/m/city_lights/
Spirited Away,2001,2000,PG,28 Mar 2003,125 min,"Animation, Adventure, Family",Hayao Miyazaki,Hayao Miyazaki,"Rumi Hiiragi, Miyu Irino, Mari Natsuki, Takashi Naitô","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","Japanese, English",Japan,Won 1 Oscar. Another 56 wins & 27 nominations.,https://m.media-amazon.com/images/M/MV5BMjlmZmI5MDctNDE2YS00YWE0LWE5ZWItZDBhYWQ0NTcxNWRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Internet Movie Database,8.6/10,94,8.6,"464,405",tt0245429,15 Apr 2003,"$9,855,615",Walt Disney Pictures,http://bventertainment.go.com/movies/spiritedaway,True,http://www.rottentomatoes.com/m/spirited_away/
Sairat,2016,2010,NOT RATED,29 Apr 2016,174 min,"Drama, Romance",Nagraj Manjule,"Nagraj Manjule (story and screenplay), Nagraj Manjule (dialogue), Bharat Manjule (dialogue)","Rinku Rajguru, Akash Thosar, Arbaz Shaikh, Tanaji Galgunde","In interior Maharashtra, a fisherman's son and a local politician's daughter fall in love against the restrictions of caste hierarchy.",Marathi,India,1 win & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjBjNWYyY2UtOGNjZC00MTg4LWIwYWItYmZiNDI5MGUwNWRkXkEyXkFqcGdeQXVyNjI1NjA5NjE@._V1_SX300.jpg,Internet Movie Database,8.6/10,N/A,8.6,"5,531",tt5312232,N/A,N/A,Essel Vision Productions,N/A,True,http://www.rottentomatoes.com/m/sairat/
Black Friday,2004,2000,NOT RATED,09 Feb 2007,143 min,"Action, Crime, Drama",Anurag Kashyap,"Anurag Kashyap (screenplay), Hussain Zaidi (book), Piyush Mishra (lyrics)","Kay Kay Menon, Pavan Malhotra, Aditya Srivastava, Dibyendu Bhattacharya","Black Friday is a film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen.",Hindi,India,2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMmU1NDhjYTQtYjQxYy00MjlmLWIxMjItMjllMmE2NDRlY2ZhXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,Internet Movie Database,8.6/10,76,8.6,"12,509",tt0400234,08 Aug 1995,N/A,Passport,N/A,True,http://www.rottentomatoes.com/m/black-friday/
The Intouchables,2011,2010,R,02 Nov 2011,112 min,"Biography, Comedy, Drama","Olivier Nakache, Eric Toledano","Olivier Nakache, Eric Toledano","François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","French, English",France,Nominated for 1 Golden Globe. Another 35 wins & 39 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_SX300.jpg,Internet Movie Database,8.6/10,57,8.6,"562,601",tt1675434,05 Mar 2013,"$13,179,837",The Weinstein Company,http://weinsteinco.com/sites/the-intouchables/,True,http://www.rottentomatoes.com/m/the_intouchables/
Queen of the Mountains,2014,2010,PG-13,06 Jan 2015,135 min,"Action, Biography, Drama",Sadyk Sher-Niyaz,"Sadyk Sher-Niyaz (screenplay), Bakytbek Turdubaev, Bakyt Turdubayev (creator)","Elina Abai Kyzy, Nasira Mambetova, Aziz Muradillayev, Adilet Usubaliyev","The relevant epic story of the strong-willed, courageous and independent woman before her time, Kurmanjan, who is revered to this day for her diplomacy for saving her nation from complete destruction when the Russians invaded.","English, Kirghiz, Russian",Kyrgyzstan,6 wins & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE0ODAxNDQ0MV5BMl5BanBnXkFtZTgwNzY1MDUyMjE@._V1_SX300.jpg,Internet Movie Database,8.6/10,N/A,8.6,"3,152",tt2640460,N/A,N/A,N/A,N/A,True,http://www.rottentomatoes.com/m/kurmanjan_datka_queen_of_the_mountains/
Your Name,2016,2010,PG,07 Apr 2017,106 min,"Animation, Drama, Fantasy",Makoto Shinkai,"Makoto Shinkai (based on his novel), Makoto Shinkai (screenplay), Clark Cheng (english script)","Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yûki","Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","Japanese, Chinese",Japan,8 wins & 11 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BODRmZDVmNzUtZDA4ZC00NjhkLWI2M2UtN2M0ZDIzNDcxYThjL2ltYWdlXkEyXkFqcGdeQXVyNTk0MzMzODA@._V1_SX300.jpg,Internet Movie Database,8.6/10,79,8.6,"37,312",tt5311514,N/A,"$4,676,810",FUNimation Films,https://www.funimationfilms.com/movie/yourname/,True,https://www.rottentomatoes.com/m/your_name_2016
Once Upon a Time in the West,1968,1960,PG-13,04 Jul 1969,164 min,Western,Sergio Leone,"Sergio Donati (screenplay), Sergio Leone (screenplay), Dario Argento (from a story by), Bernardo Bertolucci (from a story by), Sergio Leone (from a story by)","Claudia Cardinale, Henry Fonda, Jason Robards, Charles Bronson",A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,"Italian, Spanish, English","Italy, USA",4 wins & 5 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNTVhNzQ1ZmQtZDY4Ny00ODgwLWIwZTUtODhmOTY3NTQ2MWQ5XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,Internet Movie Database,8.6/10,80,8.6,"234,483",tt0064116,18 Nov 2003,N/A,Paramount Pictures,N/A,True,http://www.rottentomatoes.com/m/once_upon_a_time_in_the_west/
Running Forever,2015,2010,N/A,N/A,88 min,Family,Mike Mayhall,N/A,"Dan Arias, Cody Howard, Leticia Jimenez, Krista Kelley","After being estranged since her mothers death in the 9/11 attacks, both daughter and father must work together to reestablish their relationship. When the difficulty nearly consumes them ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjEyNDM3NTQzOF5BMl5BanBnXkFtZTgwNTU2ODExNzE@._V1_SX300.jpg,Internet Movie Database,8.6/10,N/A,8.6,8,tt4453560,27 Oct 2015,N/A,New Kingdom Pictures,N/A,True,http://www.rottentomatoes.com/m/running_forever/
The Silence of the Lambs,1991,1990,R,14 Feb 1991,118 min,"Crime, Drama, Thriller",Jonathan Demme,"Thomas Harris (novel), Ted Tally (screenplay)","Jodie Foster, Lawrence A. Bonney, Kasi Lemmons, Lawrence T. Wrentz",A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.,English,USA,Won 5 Oscars. Another 49 wins & 37 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Internet Movie Database,8.6/10,84,8.6,"967,878",tt0102926,01 Jul 1998,N/A,Orion Pictures Corporation,N/A,True,http://www.rottentomatoes.com/m/silence_of_the_lambs/
Life Is Beautiful,1997,1990,PG-13,12 Feb 1999,116 min,"Comedy, Drama, War",Roberto Benigni,"Vincenzo Cerami (story and screenplay by), Roberto Benigni (story and screenplay by)","Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano","When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.","Italian, German, English",Italy,Won 3 Oscars. Another 66 wins & 51 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BYmJmM2Q4NmMtYThmNC00ZjRlLWEyZmItZTIwOTBlZDQ3NTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Internet Movie Database,8.6/10,59,8.6,"464,159",tt0118799,09 Nov 1999,N/A,Miramax,http://www.miramax.com/movie/life-is-beautiful/,True,http://www.rottentomatoes.com/m/1084398-life_is_beautiful/
It's a Wonderful Life,1946,1940,PG,07 Jan 1947,130 min,"Drama, Family, Fantasy",Frank Capra,"Frances Goodrich (screenplay), Albert Hackett (screenplay), Frank Capra (screenplay), Jo Swerling (additional scenes), Philip Van Doren Stern (story)","James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,English,USA,Nominated for 5 Oscars. Another 6 wins & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMzMzY5NDc4M15BMl5BanBnXkFtZTcwMzc4NjIxNw@@._V1_SX300.jpg,Internet Movie Database,8.6/10,89,8.6,"301,614",tt0038650,19 Sep 1995,N/A,Liberty Films,N/A,True,http://www.rottentomatoes.com/m/1010792-its_a_wonderful_life/
The Usual Suspects,1995,1990,R,15 Sep 1995,106 min,"Crime, Drama, Mystery",Bryan Singer,Christopher McQuarrie,"Stephen Baldwin, Gabriel Byrne, Benicio Del Toro, Kevin Pollak","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","English, Hungarian, Spanish, French","USA, Germany",Won 2 Oscars. Another 32 wins & 16 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Internet Movie Database,8.6/10,77,8.6,"797,545",tt0114814,09 Dec 1999,N/A,Gramercy Pictures,N/A,True,http://www.rottentomatoes.com/m/usual_suspects/
Saving Private Ryan,1998,1990,R,24 Jul 1998,169 min,"Drama, War",Steven Spielberg,Robert Rodat,"Tom Hanks, Tom Sizemore, Edward Burns, Barry Pepper","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","English, French, German, Czech",USA,Won 5 Oscars. Another 74 wins & 74 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,Internet Movie Database,8.6/10,90,8.6,"960,639",tt0120815,02 Nov 1999,N/A,Paramount Pictures,http://https://www.facebook.com/SavingPrivateRyanMovie,True,http://www.rottentomatoes.com/m/saving_private_ryan/
Interstellar,2014,2010,PG-13,07 Nov 2014,169 min,"Adventure, Drama, Sci-Fi",Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Ellen Burstyn, Matthew McConaughey, Mackenzie Foy, John Lithgow",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,English,"USA, UK, Canada, Iceland",Won 1 Oscar. Another 41 wins & 142 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIxNTU4MzY4MF5BMl5BanBnXkFtZTgwMzM4ODI3MjE@._V1_SX300.jpg,Internet Movie Database,8.6/10,74,8.6,"1,057,411",tt0816692,31 Mar 2015,"$158,737,441",Paramount Pictures,http://www.InterstellarMovie.com/,True,http://www.rottentomatoes.com/m/interstellar_2014/
Se7en,1995,1990,R,22 Sep 1995,127 min,"Crime, Drama, Mystery",David Fincher,Andrew Kevin Walker,"Morgan Freeman, Andrew Kevin Walker, Kevin Spacey, Daniel Zacapa","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",English,USA,Nominated for 1 Oscar. Another 25 wins & 34 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Internet Movie Database,8.6/10,65,8.6,"1,108,627",tt0114369,14 Apr 1997,N/A,New Line Cinema,N/A,True,http://www.rottentomatoes.com/m/seven/
Memento,2000,2000,R,25 May 2001,113 min,"Mystery, Thriller",Christopher Nolan,"Christopher Nolan (screenplay), Jonathan Nolan (short story """"Memento Mori"""")","Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior",A man juggles searching for his wife's murderer and keeping his short-term memory loss from being an obstacle.,English,USA,Nominated for 2 Oscars. Another 55 wins & 55 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BZTcyNjk1MjgtOWI3Mi00YzQwLWI5MTktMzY4ZmI2NDAyNzYzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Internet Movie Database,8.5/10,80,8.5,"909,341",tt0209144,04 Sep 2001,"$23,844,220",Newmarket Films,http://www.otnemem.com,True,http://www.rottentomatoes.com/m/memento/
Raiders of the Lost Ark,1981,1980,PG,12 Jun 1981,115 min,"Action, Adventure",Steven Spielberg,"Lawrence Kasdan (screenplay), George Lucas (story by), Philip Kaufman (story by)","Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey",Archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis.,"English, German, Hebrew, Spanish, Arabic, Nepali",USA,Won 4 Oscars. Another 30 wins & 23 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0ODEzMTc1Nl5BMl5BanBnXkFtZTcwODM2MjAxNA@@._V1_SX300.jpg,Internet Movie Database,8.5/10,85,8.5,"709,587",tt0082971,21 Oct 2003,N/A,Paramount Pictures,http://www.indianajones.com/raiders/,True,http://www.rottentomatoes.com/m/raiders_of_the_lost_ark/
The Pianist,2002,2000,R,28 Mar 2003,150 min,"Biography, Drama, Music",Roman Polanski,"Ronald Harwood (screenplay), Wladyslaw Szpilman (book)","Adrien Brody, Emilia Fox, Michal Zebrowski, Ed Stoppard",A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,"English, German, Russian","France, Poland, Germany, UK",Won 3 Oscars. Another 51 wins & 72 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BOWRiZDIxZjktMTA1NC00MDQ2LWEzMjUtMTliZmY3NjQ3ODJiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Internet Movie Database,8.5/10,85,8.5,"547,383",tt0253474,27 May 2003,"$32,519,322",Focus Features,http://www.thepianistmovie.com/,True,http://www.rottentomatoes.com/m/pianist/
Rear Window,1954,1950,APPROVED,01 Sep 1954,112 min,"Mystery, Thriller",Alfred Hitchcock,"John Michael Hayes (screenplay), Cornell Woolrich (based on the short story by)","James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter",A wheelchair-bound photographer spies on his neighbours from his apartment window and becomes convinced one of them has committed murder.,English,USA,Nominated for 4 Oscars. Another 6 wins & 8 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Internet Movie Database,8.5/10,N/A,8.5,"342,023",tt0047396,06 Mar 2001,N/A,Paramount Pictures,N/A,True,http://www.rottentomatoes.com/m/1017289-rear_window/
The Departed,2006,2000,R,06 Oct 2006,151 min,"Crime, Drama, Thriller",Martin Scorsese,"William Monahan (screenplay), Alan Mak, Felix Chong","Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"English, Cantonese","USA, Hong Kong",Won 4 Oscars. Another 92 wins & 134 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_SX300.jpg,Internet Movie Database,8.5/10,85,8.5,"943,314",tt0407887,13 Feb 2007,"$132,300,000",Warner Bros. Pictures,http://www.thedeparted.com/,True,http://www.rottentomatoes.com/m/departed/
Gladiator,2000,2000,R,05 May 2000,155 min,"Action, Adventure, Drama",Ridley Scott,"David Franzoni (story), David Franzoni (screenplay), John Logan (screenplay), William Nicholson (screenplay)","Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed","When a Roman general is betrayed and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge.",English,"USA, UK",Won 5 Oscars. Another 53 wins & 101 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Internet Movie Database,8.5/10,67,8.5,"1,059,523",tt0172495,21 Nov 2000,N/A,Dreamworks Distribution LLC,http://www.gladiator-thefilm.com,True,http://www.rottentomatoes.com/m/gladiator/
Apocalypse Now,1979,1970,R,15 Aug 1979,153 min,"Drama, War",Francis Ford Coppola,"John Milius, Francis Ford Coppola, Michael Herr (narration)","Marlon Brando, Martin Sheen, Robert Duvall, Frederic Forrest","During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade colonel who has set himself up as a god among a local tribe.","English, French, Vietnamese",USA,Won 2 Oscars. Another 18 wins & 31 nominations.,https://m.media-amazon.com/images/M/MV5BMDdhODg0MjYtYzBiOS00ZmI5LWEwZGYtZDEyNDU4MmQyNzFkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Internet Movie Database,8.5/10,90,8.5,"481,465",tt0078788,20 Nov 2001,N/A,United Artists,http://www.zoetrope.com/zoe_films.cgi?page=films&action=show_one&film_id=13,True,http://www.rottentomatoes.com/m/apocalypse_now/
The Lion King,1994,1990,G,24 Jun 1994,88 min,"Animation, Adventure, Drama","Roger Allers, Rob Minkoff","Irene Mecchi (screenplay), Jonathan Roberts (screenplay), Linda Woolverton (screenplay), Burny Mattinson (story), Barry Johnson (story), Lorna Cook (story), Thom Enriquez (story), Andy Gaskill (story), Gary Trousdale (story), Jim Capobianco (story), Kevin Harkey (story), Jorgen Klubien (story), Chris Sanders (story), Tom Sito (story), Larry Leker (story), Joe Ranft (story), Rick Maki (story), Ed Gombert (story), Francis Glebas (story), Mark Kausler (story), J.T. Allen (additional story material), George Scribner (additional story material), Miguel Tejada-Flores (additional story material), Jenny Tripp (additional story material), Bob Tzudiker (additional story material), Christopher Vogler (additional story material), Kirk Wise (additional story material), Noni White (additional story material), Brenda Chapman (story supervisor)","Rowan Atkinson, Matthew Broderick, Niketa Calame, Jim Cummings",Lion cub and future king Simba searches for his identity. His eagerness to please others and penchant for testing his boundaries sometimes gets him into trouble.,"English, Swahili, Xhosa, Zulu",USA,Won 2 Oscars. Another 33 wins & 30 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_SX300.jpg,Internet Movie Database,8.5/10,83,8.5,"707,806",tt0110357,07 Oct 2003,"$94,240,635",Buena Vista,http://disney.go.com/lionking/,True,http://www.rottentomatoes.com/m/the_lion_king/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1960,PG,29 Jan 1964,95 min,Comedy,Stanley Kubrick,"Stanley Kubrick (screenplay), Terry Southern (screenplay), Peter George (screenplay), Peter George (based on the book: """"Red Alert"""" by)","Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn",An insane general triggers a path to nuclear holocaust that a war room full of politicians and generals frantically try to stop.,"English, Russian","USA, UK",Nominated for 4 Oscars. Another 13 wins & 6 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2ODM2NTkxNF5BMl5BanBnXkFtZTcwOTMwMzU3Mg@@._V1_SX300.jpg,Internet Movie Database,8.5/10,96,8.5,"367,328",tt0057012,02 Nov 2004,N/A,Sony Pictures,N/A,True,http://www.rottentomatoes.com/m/dr_strangelove/
Sunset Boulevard,1950,1950,PASSED,29 Sep 1950,110 min,"Drama, Film-Noir",Billy Wilder,"Charles Brackett, Billy Wilder, D.M. Marshman Jr.","William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson",A screenwriter is hired to rework a faded silent film star's script only to find himself developing a dangerous relationship.,English,USA,Won 3 Oscars. Another 15 wins & 18 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_SX300.jpg,Internet Movie Database,8.5/10,N/A,8.5,"151,983",tt0043014,26 Nov 2002,N/A,Paramount Pictures,N/A,True,http://www.rottentomatoes.com/m/sunset_boulevard/
